accession	project	bases	gc	ags	country	div	arg_copies	cpg
SRR18491195	PRJNA820119	2572.923966	744.75	3.454748527693857	CN	4.1953029831273145	2853.985	3.8321383014434374
SRR18491196	PRJNA820119	4193.451274	1137.125	3.68776631768715	CN	3.4044773122904437	4123.2339999999995	3.6260164889524016
SRR18491197	PRJNA820119	3135.613502	831.25	3.772166618947369	CN	3.831160061798207	2532.656	3.046804210526316
SRR18491199	PRJNA820119	2062.360913	646.375	3.190656991684394	CN	3.566562641046974	1896.452	2.933981048153162
SRR18491200	PRJNA820119	2824.506639	668.75	4.223561329345794	CN	3.6348564827092273	3241.201	4.84665570093458
SRR18491201	PRJNA820119	2757.07235	876.5	3.1455474614945804	CN	3.7584121377917055	2846.393	3.2474535082715343
SRR18491202	PRJNA820119	1949.554751	630.25	3.093303849266164	CN	4.19872755109439	2126.667	3.374322887742959
SRR18491203	PRJNA820119	3052.135912	924.5	3.301390926987561	CN	3.653806100100854	3134.5699999999997	3.390557057869118
SRR18491204	PRJNA820119	3155.413992	811.125	3.890169815996301	CN	4.247632295409719	2618.289	3.22797226074896
SRR18491205	PRJNA820119	2858.126961	825.0	3.4643963163636364	CN	3.4879263361968946	3508.739	4.2530169696969695
SRR18491206	PRJNA820119	8916.099177	2427.25	3.6733336809146153	CN	3.9900657177172105	9367.192000000001	3.8591789061695336
SRR18491207	PRJNA820119	2538.801817	679.375	3.7369667959521617	CN	4.000965550396523	2462.849	3.6251687212511503
SRR18491208	PRJNA820119	2372.097699	660.25	3.5927265414615674	CN	3.193705932324861	4218.626	6.389437334343052
SRR18491237	PRJNA820119	2745.129584	742.75	3.6958998101649274	CN	3.859687321201405	3165.35	4.2616627398182425
SRR18491305	PRJNA820119	2281.269163	639.75	3.565875987495115	CN	3.734770296977815	2257.505	3.5287299726455648
SRR18491316	PRJNA820119	3020.925114	828.75	3.645158508597285	CN	3.057918619195414	4301.332	5.19014419306184
SRR18491327	PRJNA820119	2164.438834	589.625	3.670873578969684	CN	3.8733200460824313	1766.632	2.996195887216451
SRR23278738	PRJNA929328	8698.20325	2290.875	3.796891253342064	DE	3.8802564530512225	6298.895	2.749558574780379
SRR23278739	PRJNA929328	7815.383437	1799.875	4.342181227585249	DE	3.2087734364844898	4820.995	2.6785165636502533
SRR23278741	PRJNA929328	5104.764101	1344.5	3.796775084417999	DE	3.2173238019864114	3869.253	2.8778378579397548
SRR23278742	PRJNA929328	7988.803335	2127.75	3.7545779978850895	DE	2.4508620369666696	5850.862	2.7497882739983552
SRR23278743	PRJNA929328	11316.84255	2617.375	4.323737542385023	DE	2.13148798548394	8900.519	3.4005516977888153
SRR23278744	PRJNA929328	5484.405143	1640.625	3.342875515733333	DE	4.639595672691938	3357.463	2.046453638095238
SRR23278745	PRJNA929328	12155.755687	3682.25	3.301176098037885	DE	4.4257828883300006	7312.174	1.9857896666440356
SRR23278746	PRJNA929328	7363.359808	1931.25	3.812742942653722	DE	2.6527168176615445	6130.7609999999995	3.1745040776699027
SRR23278747	PRJNA929328	11374.857368	3238.25	3.5126557146606965	DE	4.305702404692033	11481.879	3.5457049332201036
SRR23278748	PRJNA929328	9847.788889	3053.75	3.2248183017601306	DE	3.6723611514065597	7514.547	2.4607603765861645
SRR23278749	PRJNA929328	443.607873	114.625	3.8700795899672844	DE	3.271325690788643	291.605	2.543991275899673
DRR351859	PRJDB8879	906.224228	244.125	3.712132014336918	KR	3.9981816637254783	1081.6779999999999	4.430836661546339
DRR351860	PRJDB8879	3195.698643	930.625	3.4339273531229013	KR	3.672814215288161	2162.007	2.323177434519812
